Model,Skill,RMSE,MAE
LSTM,management_tbilisi georgia_Management,0.19611613513818404,0.038461538461538464
LSTM,administration_tbilisi georgia_Management,0.0,0.0
LSTM,leadership_tbilisi georgia_Management,0.19611613513818404,0.038461538461538464
LSTM,project management_tbilisi georgia_Management,0.0,0.0
LSTM,communication_other armenia_Sales_Marketing,0.4385290096535146,0.11538461538461539
LSTM,sales_other armenia_Sales_Marketing,0.5547001962252291,0.23076923076923078
LSTM,marketing_other armenia_Sales_Marketing,0.2773500981126146,0.07692307692307693
LSTM,management_other armenia_Sales_Marketing,0.0,0.0
LSTM,administration_other armenia_Sales_Marketing,0.19611613513818404,0.038461538461538464
LSTM,sales_abovyan armenia_Sales_Marketing,0.2773500981126146,0.07692307692307693
LSTM,marketing_abovyan armenia_Sales_Marketing,0.2773500981126146,0.07692307692307693
LSTM,communication_abovyan armenia_Sales_Marketing,0.2773500981126146,0.07692307692307693
LSTM,finance_abovyan armenia_Sales_Marketing,0.0,0.0
LSTM,management_abovyan armenia_Sales_Marketing,0.0,0.0
LSTM,communication_yerevan armenia_Administrative,4.409484799535533,3.764716148376465
LSTM,management_yerevan armenia_Administrative,2.8438364062765884,2.4004902839660645
LSTM,administration_yerevan armenia_Administrative,2.921568463003721,2.601965097280649
LSTM,database_yerevan armenia_Administrative,2.1208272492420517,1.8199195495018592
LSTM,finance_yerevan armenia_Administrative,1.6026508733832086,1.2445082939588106
LSTM,management_other armenia_Management,2.14299230773089,1.6412260669928331
LSTM,communication_other armenia_Management,1.7696352485681346,1.3328956090486968
LSTM,finance_other armenia_Management,1.5719620556364613,1.1370686980394216
LSTM,sales_other armenia_Management,0.8075414554648706,0.6355742004055244
LSTM,leadership_other armenia_Management,1.065340686026914,0.7981144258609185
LSTM,administration_tbilisi georgia_Administrative,0.0,0.0
LSTM,communication_tbilisi georgia_Administrative,0.0,0.0
LSTM,management_tbilisi georgia_Administrative,0.0,0.0
LSTM,accounting_tbilisi georgia_Administrative,0.0,0.0
LSTM,database_tbilisi georgia_Administrative,0.0,0.0
LSTM,communication_abovyan armenia_Management,0.5883484054145521,0.2692307692307692
LSTM,management_abovyan armenia_Management,0.7595545253127499,0.34615384615384615
LSTM,administration_abovyan armenia_Management,0.4385290096535146,0.19230769230769232
LSTM,sales_abovyan armenia_Management,0.3396831102433787,0.11538461538461539
LSTM,marketing_abovyan armenia_Management,0.3922322702763681,0.15384615384615385
LSTM,communication_yerevan armenia_IT,6.849169372067913,5.5943815524761495
LSTM,sql_yerevan armenia_IT,5.454471564127988,4.10887072636531
LSTM,software development_yerevan armenia_IT,5.437553784279441,4.295860804044283
LSTM,management_yerevan armenia_IT,4.229261030337486,3.3593676273639383
LSTM,javascript_yerevan armenia_IT,4.383671281184591,3.665867988879864
LSTM,communication_vanadzor armenia_Sales_Marketing,0.1735547558805948,0.07261629621140085
LSTM,management_vanadzor armenia_Sales_Marketing,0.19611613513818404,0.038461538461538464
LSTM,sales_vanadzor armenia_Sales_Marketing,0.19611613513818404,0.038461538461538464
LSTM,marketing_vanadzor armenia_Sales_Marketing,0.0,0.0
LSTM,customer service_vanadzor armenia_Sales_Marketing,0.0,0.0
LSTM,communication_abovyan armenia_Other,0.5890914042645187,0.5492519346567301
LSTM,sales_abovyan armenia_Other,0.438721503657055,0.12047000114734356
LSTM,management_abovyan armenia_Other,0.27737255718798837,0.07806287576945928
LSTM,accounting_abovyan armenia_Other,0.19611613513818404,0.038461538461538464
LSTM,marketing_abovyan armenia_Other,0.19611613513818404,0.038461538461538464
LSTM,accounting_abovyan armenia_Finance,0.5188745216627708,0.2692307692307692
LSTM,finance_abovyan armenia_Finance,0.5188745216627708,0.2692307692307692
LSTM,communication_abovyan armenia_Finance,0.3922322702763681,0.15384615384615385
LSTM,management_abovyan armenia_Finance,0.20008710739779498,0.0849181536020926
LSTM,project management_abovyan armenia_Finance,0.0,0.0
LSTM,communication_tbilisi georgia_Other,0.0,0.0
LSTM,management_tbilisi georgia_Other,0.06315624100758742,0.03744111228017853
LSTM,administration_tbilisi georgia_Other,0.0,0.0
LSTM,leadership_tbilisi georgia_Other,0.0,0.0
LSTM,finance_tbilisi georgia_Other,0.0,0.0
LSTM,communication_gyumri armenia_IT,0.2773500981126146,0.07692307692307693
LSTM,sql_gyumri armenia_IT,0.3922322702763681,0.07692307692307693
LSTM,css_gyumri armenia_IT,0.19611613513818404,0.038461538461538464
LSTM,finance_gyumri armenia_IT,0.0,0.0
LSTM,html_gyumri armenia_IT,0.19611613513818404,0.038461538461538464
LSTM,communication_other armenia_Other,1.8246045238715158,1.5319801018788264
LSTM,management_other armenia_Other,2.2705140095104794,1.8104532383955443
LSTM,administration_other armenia_Other,1.224744871391589,0.5769230769230769
LSTM,leadership_other armenia_Other,0.6443650452239389,0.4637127134662408
LSTM,finance_other armenia_Other,0.8522624090156147,0.6970577927736136
LSTM,communication_tbilisi georgia_Sales_Marketing,0.0,0.0
LSTM,management_tbilisi georgia_Sales_Marketing,0.0,0.0
LSTM,marketing_tbilisi georgia_Sales_Marketing,0.0,0.0
LSTM,accounting_tbilisi georgia_Sales_Marketing,0.0,0.0
LSTM,administration_tbilisi georgia_Sales_Marketing,0.0,0.0
LSTM,communication_vanadzor armenia_Management,0.0,0.0
LSTM,management_vanadzor armenia_Management,0.02969388523055847,0.02293990194224394
LSTM,customer service_vanadzor armenia_Management,0.0,0.0
LSTM,finance_vanadzor armenia_Management,0.0,0.0
LSTM,accounting_vanadzor armenia_Management,0.0162659462696294,0.00838078221736046
LSTM,communication_yerevan armenia_Sales_Marketing,3.2093507697884207,2.7278637886047363
LSTM,sales_yerevan armenia_Sales_Marketing,2.565749241448166,2.1723074179429274
LSTM,marketing_yerevan armenia_Sales_Marketing,2.339948333433981,1.8688130103624785
LSTM,management_yerevan armenia_Sales_Marketing,2.542061961029378,1.94888332256904
LSTM,database_yerevan armenia_Sales_Marketing,1.2931112673986864,1.1458363578869746
LSTM,communication_vanadzor armenia_IT,0.19611613513818404,0.038461538461538464
LSTM,management_vanadzor armenia_IT,0.19611613513818404,0.038461538461538464
LSTM,software development_vanadzor armenia_IT,0.19611613513818404,0.038461538461538464
LSTM,accounting_vanadzor armenia_IT,0.0,0.0
LSTM,administration_vanadzor armenia_IT,0.0,0.0
LSTM,communication_gyumri armenia_Administrative,0.19611613513818404,0.038461538461538464
LSTM,management_gyumri armenia_Administrative,0.19611613513818404,0.038461538461538464
LSTM,accounting_gyumri armenia_Administrative,0.0,0.0
LSTM,administration_gyumri armenia_Administrative,0.0,0.0
LSTM,css_gyumri armenia_Administrative,0.0,0.0
LSTM,communication_gyumri armenia_Management,0.5883484054145521,0.19230769230769232
LSTM,management_gyumri armenia_Management,0.4803844614152614,0.15384615384615385
LSTM,leadership_gyumri armenia_Management,0.4385290096535146,0.11538461538461539
LSTM,administration_gyumri armenia_Management,0.4385290096535146,0.11538461538461539
LSTM,customer service_gyumri armenia_Management,0.19611613513818404,0.038461538461538464
LSTM,accounting_other armenia_Finance,1.1766968108291043,0.6923076923076923
LSTM,communication_other armenia_Finance,1.1435437497937313,0.6153846153846154
LSTM,finance_other armenia_Finance,0.7964541288745253,0.43299975160222787
LSTM,management_other armenia_Finance,0.549868073157908,0.23768769464312264
LSTM,administration_other armenia_Finance,0.2773500981126146,0.07692307692307693
Ensemble,accounting_abovyan armenia_Administrative,0.0,0.0
Ensemble,accounting_abovyan armenia_Finance,0.4875912987036509,0.29703757971695305
Ensemble,accounting_abovyan armenia_Other,0.2034386438780856,0.09290232105617463
Ensemble,accounting_gyumri armenia_Administrative,0.0,0.0
Ensemble,accounting_gyumri armenia_Finance,9.999701521764064e-07,7.068455041931496e-07
Ensemble,accounting_gyumri armenia_Other,0.9989360774108876,0.2521393908097806
Ensemble,accounting_other armenia_Administrative,0.21198490600663547,0.08122421380427297
Ensemble,accounting_other armenia_Finance,1.145052766906662,0.7169708721502788
Ensemble,accounting_tbilisi georgia_Administrative,9.999506152812063e-07,7.273564679363514e-07
Ensemble,accounting_tbilisi georgia_Finance,9.99995560974353e-07,3.703416951793056e-07
Ensemble,accounting_tbilisi georgia_Sales_Marketing,0.0,0.0
Ensemble,accounting_vanadzor armenia_Administrative,9.999162860730351e-07,5.899401742807157e-07
Ensemble,accounting_vanadzor armenia_IT,0.0,0.0
Ensemble,accounting_vanadzor armenia_Management,0.024949358168091955,0.020135539991216568
Ensemble,accounting_vanadzor armenia_Other,0.2711400900335399,0.14302521240844054
Ensemble,accounting_yerevan armenia_Finance,3.7355560211627576,3.0848102102332167
Ensemble,administration_abovyan armenia_IT,0.2736041920505369,0.09589662306237821
Ensemble,administration_abovyan armenia_Management,0.4385290096535146,0.19230769230769232
Ensemble,administration_gyumri armenia_Administrative,0.0,0.0
Ensemble,administration_gyumri armenia_Finance,0.0,0.0
Ensemble,administration_gyumri armenia_Management,0.4355677285340089,0.13874527400982706
Ensemble,administration_gyumri armenia_Other,0.28341497117353814,0.10915900470108951
Ensemble,administration_other armenia_Administrative,0.42847193906596415,0.17383157323825343
Ensemble,administration_other armenia_Finance,0.2672313265947515,0.12619983194339618
Ensemble,administration_other armenia_Other,1.2932287865573047,0.6943570115132827
Ensemble,administration_other armenia_Sales_Marketing,0.18981549186878188,0.07752346641315283
Ensemble,administration_tbilisi georgia_Administrative,9.999820370857302e-07,8.643748470466668e-07
Ensemble,administration_tbilisi georgia_Finance,9.99990222146274e-07,3.58702004659362e-07
Ensemble,administration_tbilisi georgia_Management,9.999911776069612e-07,7.961551938114123e-07
Ensemble,administration_tbilisi georgia_Other,9.999893354370067e-07,7.056485935067542e-07
Ensemble,administration_tbilisi georgia_Sales_Marketing,0.0,0.0
Ensemble,administration_vanadzor armenia_Administrative,9.999378584217016e-07,7.737630812989058e-07
Ensemble,administration_vanadzor armenia_IT,0.0,0.0
Ensemble,administration_vanadzor armenia_Other,0.035997230321808134,0.029200076809390945
